1	  1.503107642528179e+02
2	  2.410465646461681e+03
3	  2.774295167574314e+03
4	  2.854272020736831e+03
5	  1.764261333322801e+03
6	  1.090010687414032e+03
7	  9.482861882359446e+02
8	  1.541954039303166e+03
9	  1.852236236879587e+02
10	  1.848872057446770e+02
11	  1.999664395701540e+03
12	  1.999664395701540e+03
13	  1.999664395701540e+03
14	  8.036929569243564e+02
15	  2.358523498394919e+02
16	  4.963428363468096e+02
17	  2.000000813644824e+03
18	  1.848872057446770e+02
19	  8.015032824170129e+02
20	  1.850000752621462e+02
21	  1.060000000000000e+03
22	  2.070000000000000e+03
23	  1.620000000000000e+03
24	  3.600000000000000e+02
25	  2.030000000000000e+03
26	  1.860000000000000e+03
27	  8.245969376212594e+02
28	  1.612289643601623e+03
29	  1.258360153394710e+03
30	  2.800231468374825e+02
31	  1.578056648110862e+03
32	  1.447009074732525e+03

1	  2.185000888906970e+03	  2.185000888906970e+03
2	  2.184888019389501e+03	  2.184888019389501e+03
3	  3.611954039303166e+03	  3.611954039303166e+03
4	  1.999664395701540e+03	  1.999664395701540e+03
5	  2.038296875649976e+03	  2.038296875649976e+03
6	  2.897355632256505e+03	  2.897355632256505e+03
7	  1.430223698950105e+03	  1.430223698950105e+03
8	  2.526342836346810e+03	  2.526342836346810e+03
9	  1.999664395701540e+03	  1.999664395701540e+03
10	  2.646317996301168e+03	  2.646317996301168e+03
11	  4.834158603386038e+03	  4.834158603386038e+03
12	  3.134295167574314e+03	  3.134295167574314e+03
13	  2.854272020736831e+03	  2.854272020736831e+03

