 -9.062135619543939e+02+  0.000000000000000e+00i
 -6.262152398325734e+02+  0.000000000000000e+00i
 -2.404702390911343e+02+ -4.276514627016642e+01i
 -2.404702390911343e+02+  4.276514627016642e+01i
 -1.665935720215267e+02+  0.000000000000000e+00i
 -6.699775638348282e+01+  0.000000000000000e+00i
 -5.291437750650736e+01+  0.000000000000000e+00i
 -9.975005771465881e+00+  0.000000000000000e+00i
 -3.204778376480352e+00+  0.000000000000000e+00i
 -1.934861799356288e+00+  0.000000000000000e+00i
 -6.539317271480650e-01+  0.000000000000000e+00i
 -4.405545191618019e-01+  0.000000000000000e+00i
 -3.371734500180784e-01+  0.000000000000000e+00i
