0	 1.00000e-01	 0.00000e+00	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03	  1.000000000000000e+03
100	 1.00000e-01	 1.00000e-01	  9.948720627059663e+00	  5.717540830298475e+01	  3.273066922829042e+01	  2.846841733221613e+01	  1.213737373429464e+03	  1.999307017376124e+03	  2.813043787129367e+03	  1.020799550081636e+03	  6.286510204722287e+01	  1.674961713004115e+02	  3.032877657304657e+03	  1.578130592533671e+02	  1.135392000642981e+03
200	 1.00000e-01	 2.00000e-01	  6.769648290515256e+00	  1.972710813352371e+01	  3.591076910048097e+01	  2.346182583299493e+01	  1.033565159058149e+03	  2.481391490108644e+03	  2.858429581022465e+03	  1.231543370971770e+03	  5.520281236980595e+01	  5.837942825496118e+01	  2.672030568274486e+03	  1.067500794391499e+02	  7.374864073849311e+02
300	 1.00000e-01	 3.00000e-01	  5.331672593512453e+00	  1.044748239159368e+01	  4.006793273686442e+01	  2.061647506205221e+01	  8.566921325501337e+02	  2.855575552999833e+03	  2.810143109928242e+03	  1.439529892437152e+03	  4.890154230693202e+01	  4.690039298426773e+01	  2.322358328283464e+03	  7.533604702299321e+01	  4.858075681549657e+02
400	 1.00000e-01	 4.00000e-01	  4.260639554744817e+00	  6.239564507349574e+00	  4.591252071880842e+01	  1.723479677042733e+01	  6.989435646943866e+02	  3.161234255599069e+03	  2.731224704752544e+03	  1.637057313471493e+03	  4.141990350044583e+01	  3.623198323668738e+01	  2.026981771302657e+03	  5.796680399460392e+01	  3.498513931670210e+02
500	 1.00000e-01	 5.00000e-01	  3.608667381007744e+00	  4.552934022727418e+00	  5.062155002501918e+01	  1.473150226419678e+01	  5.641586574907933e+02	  3.409374038809332e+03	  2.651396426387341e+03	  1.823100008735003e+03	  3.586116489253037e+01	  2.835427897006912e+01	  1.770540984634817e+03	  4.951334939484362e+01	  2.848543577203645e+02
600	 1.00000e-01	 6.00000e-01	  3.246477171080948e+00	  3.814911225995037e+00	  5.302969524563770e+01	  1.325120341038115e+01	  4.504515729821783e+02	  3.613348770528833e+03	  2.579566447897233e+03	  1.996282095700476e+03	  3.253628109918889e+01	  2.306855874118328e+01	  1.553529737328855e+03	  4.561264713770220e+01	  2.556075608798390e+02
700	 1.00000e-01	 7.00000e-01	  3.037291339470137e+00	  3.442043072429190e+00	  5.359170846665713e+01	  1.238444436567984e+01	  3.566824861964724e+02	  3.784702854861240e+03	  2.516849230093619e+03	  2.155632277667259e+03	  3.056338223757346e+01	  1.938214310904525e+01	  1.375176130335012e+03	  4.374362645578616e+01	  2.422382103125886e+02
800	 1.00000e-01	 8.00000e-01	  2.902660362160343e+00	  3.222674384033823e+00	  5.300737804704566e+01	  1.182717476504398e+01	  2.825199684232051e+02	  3.932013232058726e+03	  2.462481290178087e+03	  2.300865294470910e+03	  2.927935750274553e+01	  1.665163487209807e+01	  1.230785296348990e+03	  4.272420727060003e+01	  2.354838561667748e+02
900	 1.00000e-01	 9.00000e-01	  2.806327621985027e+00	  3.076030524987859e+00	  5.184062819174807e+01	  1.142880534385741e+01	  2.272896402823004e+02	  4.061304874015682e+03	  2.415324220042318e+03	  2.432432333228384e+03	  2.835314566849196e+01	  1.456162518789545e+01	  1.114438443203700e+03	  4.205613215786919e+01	  2.314337141011708e+02
