0	 1.00000e-01	 0.00000e+00	  1.000000000000000e+00	  1.000000000000000e+00	  1.000000000000000e+00	  1.000000000000000e+00	  1.000000000000000e+00
100	 1.00000e-01	 1.00000e-01	  3.130850129722247e-02	  1.606015047182604e+00	  2.256347581526669e+00	 -9.976289821587280e-04	 -3.085097431369678e-01
200	 1.00000e-01	 2.00000e-01	  3.113918655764938e-02	  1.659784671597555e+00	  2.969350831758653e+00	 -5.539537043991669e-04	 -2.550165514000919e-01
300	 1.00000e-01	 3.00000e-01	  3.176107243345650e-02	  1.600695017817030e+00	  3.728146176851104e+00	 -2.849578992486085e-04	 -1.924126478405316e-01
400	 1.00000e-01	 4.00000e-01	  3.283233110110277e-02	  1.485475950988196e+00	  4.535057516468516e+00	 -1.909518683700338e-04	 -1.395836024281963e-01
500	 1.00000e-01	 5.00000e-01	  3.426809955365868e-02	  1.338532298928721e+00	  5.382367223910174e+00	 -2.162141650616893e-04	 -9.986505414726440e-02
600	 1.00000e-01	 6.00000e-01	  3.601419132112951e-02	  1.179950470110986e+00	  6.254228022419650e+00	 -3.167919591898945e-04	 -7.127532745760939e-02
700	 1.00000e-01	 7.00000e-01	  3.797406901376254e-02	  1.028637573495515e+00	  7.136210885357588e+00	 -4.487307371462725e-04	 -5.112581061004418e-02
800	 1.00000e-01	 8.00000e-01	  4.001897405712471e-02	  8.970103275655931e-01	  8.020655461133797e+00	 -5.631056775113434e-04	 -3.715069046869572e-02
900	 1.00000e-01	 9.00000e-01	  4.204109922035659e-02	  7.885341420094700e-01	  8.906464891780315e+00	 -6.235810311937540e-04	 -2.753178711150565e-02
1000	 1.00000e-01	 1.00000e+00	  4.399142075710925e-02	  7.003934271964495e-01	  9.796280589724228e+00	 -6.134600480562566e-04	 -2.089952221337720e-02
1100	 1.00000e-01	 1.10000e+00	  4.587221153439025e-02	  6.277552980337282e-01	  1.069369611855997e+01	 -5.296019201785629e-04	 -1.632032174207922e-02
1200	 1.00000e-01	 1.20000e+00	  4.770835030788263e-02	  5.663640262150031e-01	  1.160182769521848e+01	 -3.763576682850357e-04	 -1.320659138723228e-02
1300	 1.00000e-01	 1.30000e+00	  4.952869953465221e-02	  5.131402936939899e-01	  1.252310030337443e+01	 -1.653598040618660e-04	 -1.120573211629438e-02
1400	 1.00000e-01	 1.40000e+00	  5.126027721160188e-02	  4.705953113235050e-01	  1.345461488267721e+01	  1.493369683596892e-04	 -7.534813130388259e-03
1500	 1.00000e-01	 1.50000e+00	  5.355322502227142e-02	  3.984877353062881e-01	  1.442690442967678e+01	  3.819769797719022e-03	 -1.683448366819401e-02
1600	 1.00000e-01	 1.60000e+00	  5.706709356653498e-02	  3.525554597851936e-01	  1.541221758997535e+01	  1.850168731168170e-03	 -8.392659555747937e-03
1700	 1.00000e-01	 1.70000e+00	  6.155213633491238e-02	  2.699297618944214e-01	  1.645140749220458e+01	  4.923703757316646e-03	 -2.961933878649094e-03
1800	 1.00000e-01	 1.80000e+00	  6.674164043277989e-02	  2.170444955598076e-01	  1.755633471740382e+01	 -6.319637202023901e-05	 -6.404953628875883e-04
