0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
1.00000e-01	3.13085e-02	1.60602e+00	2.25635e+00	-9.97629e-04	-3.08510e-01
2.00000e-01	3.11392e-02	1.65978e+00	2.96935e+00	-5.53954e-04	-2.55017e-01
3.00000e-01	3.17611e-02	1.60070e+00	3.72815e+00	-2.84958e-04	-1.92413e-01
4.00000e-01	3.28323e-02	1.48548e+00	4.53506e+00	-1.90952e-04	-1.39584e-01
5.00000e-01	3.42681e-02	1.33853e+00	5.38237e+00	-2.16214e-04	-9.98651e-02
6.00000e-01	3.60142e-02	1.17995e+00	6.25423e+00	-3.16792e-04	-7.12753e-02
7.00000e-01	3.79741e-02	1.02864e+00	7.13621e+00	-4.48731e-04	-5.11258e-02
8.00000e-01	4.00190e-02	8.97010e-01	8.02066e+00	-5.63106e-04	-3.71507e-02
9.00000e-01	4.20411e-02	7.88534e-01	8.90646e+00	-6.23581e-04	-2.75318e-02
1.00000e+00	4.39914e-02	7.00393e-01	9.79628e+00	-6.13460e-04	-2.08995e-02
1.10000e+00	4.58722e-02	6.27755e-01	1.06937e+01	-5.29602e-04	-1.63203e-02
1.20000e+00	4.77084e-02	5.66364e-01	1.16018e+01	-3.76358e-04	-1.32066e-02
1.30000e+00	4.95287e-02	5.13140e-01	1.25231e+01	-1.65360e-04	-1.12057e-02
1.40000e+00	5.12603e-02	4.70595e-01	1.34546e+01	1.49337e-04	-7.53481e-03
1.50000e+00	5.35532e-02	3.98488e-01	1.44269e+01	3.81977e-03	-1.68345e-02
1.60000e+00	5.70671e-02	3.52555e-01	1.54122e+01	1.85017e-03	-8.39266e-03
1.70000e+00	6.15521e-02	2.69930e-01	1.64514e+01	4.92370e-03	-2.96193e-03
1.80000e+00	6.67416e-02	2.17044e-01	1.75563e+01	-6.31964e-05	-6.40495e-04
1.90000e+00	4.90292e-02	3.99315e-01	1.82797e+01	1.54143e-02	6.29588e-01
2.00000e+00	3.33050e-02	1.05613e+00	1.68245e+01	2.52246e-02	2.58046e+00
2.10000e+00	3.11153e-02	1.29724e+00	1.55857e+01	2.34508e-02	2.62891e+00
2.20000e+00	3.07452e-02	1.35534e+00	1.46030e+01	2.11979e-02	2.42790e+00
