0	 1.00000e-01	 0.00000e+00	  2.000000000000000e-01	  1.000000000000000e+00	  2.300000000000000e+01	  1.000000000000000e-02	  2.000000000000000e-01	  4.000000000000000e+00	  8.000000000000000e+00	  5.000000000000000e-01	  1.500000000000000e+00	  2.700000000000000e+02	  2.700000000000000e+02	  8.000000000000000e+01
100	 1.00000e-01	 1.00000e-01	  9.901782857512778e-01	  1.248462919576113e+00	  2.265419553217516e+01	  2.294551028002971e-02	  1.114506339791460e-01	  4.435323778470811e+00	  7.829333116952002e+00	  5.560027551525847e-01	  1.903682926761620e+00	  2.699943783307534e+02	  2.700129862598191e+02	  7.996564875257984e+01
200	 1.00000e-01	 2.00000e-01	  8.368475531338772e-01	  1.282193149462110e+00	  2.231926457790288e+01	  2.421889416850669e-02	  1.094292821717392e-01	  4.955842568417968e+00	  7.631841404533089e+00	  5.772150999532187e-01	  2.356327238164056e+00	  2.700037407051316e+02	  2.700417435881077e+02	  7.992812920786275e+01
300	 1.00000e-01	 3.00000e-01	  3.748481597598224e-01	  1.307342792174112e+00	  2.209330475745524e+01	  2.244837086582850e-02	  1.226451742342594e-01	  5.344768343897726e+00	  7.469152704493147e+00	  5.839076854732758e-01	  2.671171809861260e+00	  2.700182560453266e+02	  2.700759221449370e+02	  7.989645270125709e+01
400	 1.00000e-01	 4.00000e-01	  1.315434683153968e-01	  1.288320196117826e+00	  2.219582235713688e+01	  1.321223842496002e-02	  2.154612840048820e-01	  5.232550947982516e+00	  7.458251268518596e+00	  5.854883014742450e-01	  2.507671705370678e+00	  2.700341298797388e+02	  2.701115265234132e+02	  7.989578523168008e+01
500	 1.00000e-01	 5.00000e-01	  1.265234390491725e-01	  1.285860164638586e+00	  2.245723786526096e+01	  1.224121119428287e-02	  2.356803186303088e-01	  4.835681419396050e+00	  7.546032488717161e+00	  5.870286687092583e-01	  2.085681764078607e+00	  2.700505158932821e+02	  2.701476657321215e+02	  7.991857040171816e+01
600	 1.00000e-01	 6.00000e-01	  1.319055526698882e-01	  1.282140614798313e+00	  2.267327998794520e+01	  1.229633446568868e-02	  2.346622225922128e-01	  4.478329756412087e+00	  7.629442490663646e+00	  5.889010522239926e-01	  1.734731318643519e+00	  2.700675481325265e+02	  2.701844818272118e+02	  7.993593054973667e+01
700	 1.00000e-01	 7.00000e-01	  1.408345007002325e-01	  1.278118479644784e+00	  2.282005706892039e+01	  1.264326874223811e-02	  2.262261810628179e-01	  4.206196313654996e+00	  7.691114986131558e+00	  5.906761847607629e-01	  1.498118644578581e+00	  2.700852688935221e+02	  2.702220203021102e+02	  7.994325188024516e+01
800	 1.00000e-01	 8.00000e-01	  1.524313057020023e-01	  1.274343005418552e+00	  2.289828537611920e+01	  1.317139485389102e-02	  2.139634291716373e-01	  4.030953478252272e+00	  7.724345619893266e+00	  5.920319775691361e-01	  1.375447831102745e+00	  2.701035688127695e+02	  2.702601667304001e+02	  7.994099177140023e+01
900	 1.00000e-01	 9.00000e-01	  1.654148762198418e-01	  1.271401862387431e+00	  2.291911521662584e+01	  1.378720233864700e-02	  2.011441864120825e-01	  3.947964097144641e+00	  7.727944558202092e+00	  5.927842897916866e-01	  1.346454790557222e+00	  2.701222405914065e+02	  2.702987032176399e+02	  7.993154376334087e+01
1000	 1.00000e-01	 1.00000e+00	  1.768858199947528e-01	  1.269811615506926e+00	  2.290027001752241e+01	  1.434443170237608e-02	  1.909641056227698e-01	  3.937266782505035e+00	  7.706824216845776e+00	  5.928861483568733e-01	  1.379811399099493e+00	  2.701410329504611e+02	  2.703373651772825e+02	  7.991784234429127e+01
1100	 1.00000e-01	 1.10000e+00	  1.830293811956670e-01	  1.269699854589466e+00	  2.286294307178541e+01	  1.467915895300456e-02	  1.855371128023082e-01	  3.967347206728953e+00	  7.670801609786018e+00	  5.924250974535440e-01	  1.440498630778973e+00	  2.701597040623261e+02	  2.703758976368009e+02	  7.990258649426644e+01
1200	 1.00000e-01	 1.20000e+00	  1.822731055358627e-01	  1.270556636540661e+00	  2.282739315614631e+01	  1.470876906958069e-02	  1.852081367748764e-01	  4.004205290564248e+00	  7.631195302954497e+00	  5.915917559875404e-01	  1.497111442935433e+00	  2.701780686902694e+02	  2.704141049895392e+02	  7.988791791671909e+01
1300	 1.00000e-01	 1.30000e+00	  1.774794797454282e-01	  1.271524930797018e+00	  2.280657526841866e+01	  1.451534777373783e-02	  1.882995997441332e-01	  4.023739118800001e+00	  7.596489925470831e+00	  5.906124759943597e-01	  1.530418389638581e+00	  2.701960260708033e+02	  2.704518805015856e+02	  7.987510674736859e+01
1400	 1.00000e-01	 1.40000e+00	  1.729512595090054e-01	  1.272057067071701e+00	  2.280204881492494e+01	  1.428024595219310e-02	  1.920162201264269e-01	  4.020016720615918e+00	  7.569390116941572e+00	  5.896651279915981e-01	  1.538575190706849e+00	  2.702135572730846e+02	  2.704892036529957e+02	  7.986427148660405e+01
1500	 1.00000e-01	 1.50000e+00	  1.706871261467933e-01	  1.272104242726771e+00	  2.280723329070511e+01	  1.412634064667790e-02	  1.943925989102789e-01	  4.001400125895916e+00	  7.547734375658531e+00	  5.888265850743482e-01	  1.532017077846067e+00	  2.702306940577813e+02	  2.705261073967450e+02	  7.985465877249680e+01
1600	 1.00000e-01	 1.60000e+00	  1.704722312019689e-01	  1.271866102566554e+00	  2.281447919023164e+01	  1.407169468323254e-02	  1.950934451895445e-01	  3.979526002055940e+00	  7.527923250883976e+00	  5.880852226448086e-01	  1.522680078258341e+00	  2.702474796906275e+02	  2.705626368767674e+02	  7.984537693537959e+01
1700	 1.00000e-01	 1.70000e+00	  1.713305559120238e-01	  1.271565062691211e+00	  2.281926661246992e+01	  1.408029912810116e-02	  1.947403749991341e-01	  3.961984877963920e+00	  7.507418625025584e+00	  5.873911136638309e-01	  1.517514317979545e+00	  2.702639435987377e+02	  2.705988226948921e+02	  7.983589311780894e+01
1800	 1.00000e-01	 1.80000e+00	  1.723407613616148e-01	  1.271345410114676e+00	  2.282060102082466e+01	  1.410812935805504e-02	  1.941101152162883e-01	  3.950946724520925e+00	  7.485372688403074e+00	  5.866991191597469e-01	  1.517919263547922e+00	  2.702800954541990e+02	  2.706346746446394e+02	  7.982609026987322e+01
