 -1.501932300316721e+03+  0.000000000000000e+00i
 -6.260657114696897e+01+ -7.818685862280431e+01i
 -6.260657114696897e+01+  7.818685862280431e+01i
 -8.731725272411461e+00+  0.000000000000000e+00i
 -3.593583741673012e+00+  7.167444257865403e+00i
 -3.593583741673012e+00+ -7.167444257865403e+00i
 -2.234539469957287e+00+  0.000000000000000e+00i
 -2.694203902335253e-01+ -4.244020462775708e-02i
 -2.694203902335253e-01+  4.244020462775708e-02i
 -2.221130215499373e-02+  0.000000000000000e+00i
 -1.782056270152482e-02+  0.000000000000000e+00i
 -1.227523583240321e-02+  0.000000000000000e+00i
