1	  3.167326590122534e+01
2	  3.167326590122534e+01
3	  1.361500238156547e-01
4	  2.329714694981905e+01
5	  4.362761601089706e+01
6	  2.614997975715204e+01
7	  2.966677888741000e+00
8	  2.440270371343401e+00
9	  8.239968927590617e+00
10	  8.239968927590629e+00
11	  7.242270529026860e+00
12	  3.521195466330321e+00
13	  3.721075062696535e+00
14	  9.976983985637619e-01
15	  7.242270529026878e+00
16	  3.521195466330325e+00
17	  3.721075062696533e+00
18	  9.976983985637633e-01

1	  3.167326590122534e+01	  3.167326590122534e+01
2	  3.167326590122534e+01	  3.167326590122534e+01
3	  2.741713141361437e+01	  2.741713141361437e+01
4	  4.362761601089706e+01	  4.362761601089706e+01
5	  7.701986629707598e+01	  7.701986629707598e+01
6	  8.239968927590617e+00	  8.239968927590617e+00
7	  8.239968927590629e+00	  8.239968927590629e+00
8	  7.242270529026860e+00	  7.242270529026860e+00
9	  8.239968927590617e+00	  8.239968927590617e+00
10	  3.521195466330321e+00	  3.521195466330321e+00
11	  3.721075062696535e+00	  3.721075062696535e+00
12	  9.976983985637619e-01	  9.976983985637619e-01

