84

1	1	6
2	1	14
3	1	46
4	1	48
5	2	10
6	2	11
7	2	15
8	2	46
9	2	47
10	2	48
11	3	11
12	3	12
13	3	16
14	4	12
15	4	13
16	4	17
17	5	1
18	5	13
19	5	18
20	5	46
21	5	48
22	6	7
23	6	13
24	6	19
25	7	8
26	7	20
27	8	3
28	8	5
29	8	21
30	8	46
31	8	47
32	8	48
33	9	2
34	9	22
35	10	7
36	10	23
37	11	2
38	11	3
39	11	24
40	11	47
41	12	9
42	12	25
43	13	4
44	13	26
45	13	46
46	13	48
47	14	6
48	14	27
49	15	1
50	15	6
51	15	7
52	15	10
53	15	28
54	16	5
55	16	6
56	16	8
57	16	10
58	16	29
59	17	1
60	17	30
61	18	7
62	18	31
63	19	11
64	19	32
65	20	1
66	20	33
67	21	34
68	22	35
69	23	36
70	24	37
71	25	38
72	26	39
73	27	7
74	27	40
75	28	3
76	28	41
77	29	11
78	29	42
79	30	12
80	30	43
81	31	8
82	31	44
83	32	6
84	32	45
